"o1","o2","e1","e2","chisq","word","name","num","match","name2"
17,32,0.573137426261743,48.4268625737383,88.7382641506927,"ya know","X1.Good.News..Bad.News",1,FALSE,"X1 Good News  Bad News"
9,55,0.578126399986967,63.421873600013,33.741052997218,"yknow","X2.The.Stakeout",88,FALSE,"X2 The Stakeout"
5,18,0.188376087843673,22.8116239121563,24.2591827171248,"twice","X3.The.Robbery",99,FALSE,"X3 The Robbery"
7,22,0.297943642914457,28.7020563570855,32.4938971359729,"wednesday","X4.Male.Unbonding",110,FALSE,"X4 Male Unbonding"
10,19,0.294882633188221,28.7051173668118,54.7950745076067,"stock","X5.The.Stock.Tip",121,TRUE,"X5 The Stock Tip"
10,18,0.290488473580896,27.7095115264191,55.2449864672507,"books","X6.The.Ex.Girlfriend",132,FALSE,"X6 The Ex Girlfriend"
8,18,0.261100950686241,25.7388990493138,41.8818950924359,"funeral","X7.The.Pony.Remark",143,FALSE,"X7 The Pony Remark"
10,77,0.808548899162138,86.1914511008379,32.9360856060327,"jacket","X8.The.Jacket",154,TRUE,"X8 The Jacket"
5,30,0.297108604888866,34.7028913951111,19.493416824683,"toe","X9.The.Phone.Message",165,FALSE,"X9 The Phone Message"
22,81,1.13287323373164,101.867126766268,93.3828948136079,"thousand","X10.The.Apartment",2,FALSE,"X10 The Apartment"
10,10,0.224017430397324,19.7759825696027,62.3346680397071,"coincidence","X11.The.Statue",13,FALSE,"X11 The Statue"
6,23,0.2405539087127,28.7594460912873,28.3191317494021,"quit","X12.The.Revenge",24,FALSE,"X12 The Revenge"
11,17,0.239669698902353,27.7603303010976,67.5071348213956,"heart","X13.The.Heart.Attack",35,TRUE,"X13 The Heart Attack"
6,13,0.190268758438886,18.8097312415611,31.8078759493827,"pal","X14.The.Deal",46,FALSE,"X14 The Deal"
13,14,0.262670676202861,26.7373293237971,83.3307987182129,"cable","X15.The.Baby.Shower",57,FALSE,"X15 The Baby Shower"
11,106,0.977963525835866,116.022036474164,34.0916176017945,"table","X16.The.Chinese.Restaurant",68,FALSE,"X16 The Chinese Restaurant"
9,29,0.328145427898107,37.6718545721019,44.4336029228368,"sweater","X17.The.Busboy",79,FALSE,"X17 The Busboy"
13,60,0.636311727706651,72.3636882722933,55.9592092587164,"joe","X18.The.Note",86,FALSE,"X18 The Note"
10,10,0.149693968838853,19.8503060311611,70.3222607694508,"papers","X19.The.Truth",87,FALSE,"X19 The Truth"
36,21,0.658147379346134,56.3418526206539,246.68242509441,"pen","X20.The.Pen",89,TRUE,"X20 The Pen"
14,80,0.771840411840412,93.2281595881596,56.6612651482185,"dog","X21.The.Dog",90,TRUE,"X21 The Dog"
6,11,0.128711307643714,16.8712886923563,36.693517094389,"gym","X22.The.Library",91,FALSE,"X22 The Library"
12,35,0.504663491635828,46.4953365083642,56.1702048800491,"fish","X23.The.Parking.Garage",92,FALSE,"X23 The Parking Garage"
27,34,0.611827803563785,60.3881721964362,165.444202426856,"test","X24.The.Cafe",93,FALSE,"X24 The Cafe"
9,51,0.532633915061031,59.467366084939,35.2212089794,"bald","X25.The.Tape",94,FALSE,"X25 The Tape"
9,34,0.340806326828849,42.6591936731711,43.4979834274609,"nose","X26.The.Nose.Job",95,TRUE,"X26 The Nose Job"
4,14,0.16939649993993,17.8306035000601,18.5224095809961,"island","X27.The.Stranded",96,FALSE,"X27 The Stranded"
9,26,0.358298324400019,34.6417016756,43.1030435632101,"cars","X28.The.Alternate.Side",97,FALSE,"X28 The Alternate Side"
16,60,0.826999658212052,75.1730003417879,67.7475630727973,"drink","X29.The.Red.Dot",98,FALSE,"X29 The Red Dot"
7,55,0.391272757468186,61.6087272425318,27.8979086639317,"wedding","X30.The.Subway",100,FALSE,"X30 The Subway"
7,22,0.26397855391637,28.7360214460836,34.1363705436706,"beach","X31.The.Pez.Dispenser",101,FALSE,"X31 The Pez Dispenser"
9,53,0.656074446398282,61.3439255536017,31.6390511816251,"cake","X32.The.Suicide",102,FALSE,"X32 The Suicide"
6,16,0.210441889130912,21.7895581108691,30.3207136259455,"good looking","X33.The.Fix.Up",103,FALSE,"X33 The Fix Up"
8,36,0.407834781183413,43.5921652188166,33.8435428982764,"friday","X34.The.Boyfriend.Part.1",104,FALSE,"X34 The Boyfriend Part 1"
6,34,0.316234283537113,39.6837657164629,24.8048242997635,"kiss","X35.The.Boyfriend.Part.2",105,FALSE,"X35 The Boyfriend Part 2"
8,98,0.83517588826441,105.164824111736,22.3228383190858,"game","X36.The.Limo",106,FALSE,"X36 The Limo"
5,7,0.111477036517455,11.8885229634825,30.61845911889,"right right right","X37.The.Good.Samaritan",107,FALSE,"X37 The Good Samaritan"
5,21,0.243409112013439,25.7565908879866,21.649434986996,"letter","X38.The.Letter",108,TRUE,"X38 The Letter"
9,23,0.408952977062948,31.5910470229371,41.045375239817,"space","X39.The.Parking.Space",109,TRUE,"X39 The Parking Space"
55,39,0.984990742106212,93.0150092578938,374.672644954023,"keys","X40.The.Keys",111,TRUE,"X40 The Keys"
4,16,0.181047264781625,19.8189527352184,17.9127331649872,"ross","X41.The.Trip.Part.1",112,FALSE,"X41 The Trip Part 1"
7,40,0.452635599694423,46.5473644003056,26.212818241525,"police","X42.The.Trip.Part.2",113,FALSE,"X42 The Trip Part 2"
29,276,3.66142835941494,301.338571640585,71.5435233314938,"show","X43.The.Pitch",114,FALSE,"X43 The Pitch"
10,44,0.625811895674793,53.3741881043252,38.4296995242624,"mister","X44.The.Ticket",115,FALSE,"X44 The Ticket"
10,36,0.567069362958623,45.4329306370414,40.641460987335,"wallet","X45.The.Wallet",116,TRUE,"X45 The Wallet"
6,40,0.468394065988908,45.5316059340111,20.2402760944026,"wallet","X46.The.Watch",117,FALSE,"X46 The Watch"
20,143,1.73913612672541,161.260863873275,63.3226434431417,"ha ha","X47.The.Bubble.Boy",118,FALSE,"X47 The Bubble Boy"
14,21,0.378594026239881,34.6214059737601,80.0918598001825,"cigars","X48.The.Cheever.Letters",119,FALSE,"X48 The Cheever Letters"
10,70,0.772896232130868,79.2271037678691,33.8686610044209,"tickets","X49.The.Opera",120,FALSE,"X49 The Opera"
8,16,0.298877240594428,23.7011227594056,40.0207440154092,"closet","X50.The.Virgin",122,FALSE,"X50 The Virgin"
6,13,0.192070505214513,18.8079294947855,31.6972674149009,"round","X51.The.Contest",123,FALSE,"X51 The Contest"
8,14,0.218283723396198,21.7817162766038,45.2460375394112,"magazine","X52.The.Airport",124,FALSE,"X52 The Airport"
15,71,0.975265291568805,85.0247347084312,56.3956271817948,"card","X53.The.Pick",125,FALSE,"X53 The Pick"
12,62,0.536335940077232,73.4636640599228,53.5522190257259,"ticket","X54.The.Movie",126,FALSE,"X54 The Movie"
28,194,2.03481713244725,219.965182867553,98.0836065175052,"funny","X55.The.Visa",127,FALSE,"X55 The Visa"
22,45,0.739150867083195,66.2608491329168,114.480705007449,"shoes","X56.The.Shoes",128,TRUE,"X56 The Shoes"
10,54,0.454529076548173,63.5454709234518,44.2422282063813,"yknow","X57.The.Outing",129,FALSE,"X57 The Outing"
7,31,0.284744291048016,37.715255708952,32.6722311812174,"teeth","X58.The.Old.Man",130,FALSE,"X58 The Old Man"
8,28,0.365367784620573,35.6346322153794,35.8783232135477,"death","X59.The.Implant",131,FALSE,"X59 The Implant"
13,51,0.530242036514273,63.4697579634857,60.872381065254,"yknow","X60.The.Junior.Mint",133,FALSE,"X60 The Junior Mint"
12,65,0.566496106386601,76.4335038936134,52.2121991518172,"smell","X61.The.Smelly.Car",134,TRUE,"X61 The Smelly Car"
9,40,0.493238354049752,48.5067616459502,36.8458718426943,"spot","X62.The.Handicap.Spot",135,TRUE,"X62 The Handicap Spot"
9,49,0.64737041241014,57.3526295875899,31.9520591183906,"white","X63.The.Pilot.Part.1",136,FALSE,"X63 The Pilot Part 1"
4,22,0.260758681655675,25.7392413183443,14.9367659778882,"sneakers","X64.The.Pilot.Part.2",137,FALSE,"X64 The Pilot Part 2"
18,20,0.422121717051496,37.5778782829485,109.874669667876,"fruit","X65.The.Mango",138,FALSE,"X65 The Mango"
13,71,0.735220601057955,83.2647793989421,52.05878633801,"hands","X66.The.Puffy.Shirt",139,FALSE,"X66 The Puffy Shirt"
13,41,0.632795809529838,53.3672041904702,56.9692822729682,"glasses","X67.The.Glasses",140,TRUE,"X67 The Glasses"
9,10,0.215280729864949,18.784719270135,54.5854924416628,"america","X68.The.Sniffing.Accountant",141,FALSE,"X68 The Sniffing Accountant"
11,46,0.463406139152911,56.5365938608471,50.7003298111467,"act","X69.The.Bris",142,FALSE,"X69 The Bris"
12,57,0.816002556999787,68.1839974430002,44.0937829868125,"ball","X70.The.Lip.Reader",144,FALSE,"X70 The Lip Reader"
6,27,0.293195907337845,32.7068040926622,25.8697864527273,"arm","X71.The.Non.Fat.Yogurt",145,FALSE,"X71 The Non Fat Yogurt"
13,191,1.88227069123899,202.117729308761,28.6318502148621,"job","X72.The.Barber",146,FALSE,"X72 The Barber"
6,23,0.33013107732499,28.669868922675,24.6640849901564,"normal","X73.The.Masseuse",147,FALSE,"X73 The Masseuse"
7,33,0.393384421533121,39.6066155784669,28.2600459223552,"coffee table","X74.The.Cigar.Store.Indian",148,FALSE,"X74 The Cigar Store Indian"
5,17,0.153234431129514,21.8467655688705,26.3236978509771,"medicine","X75.The.Conversion",149,FALSE,"X75 The Conversion"
11,30,0.420030422980275,40.5799695770197,53.7124827822145,"rock","X76.The.Stall",150,FALSE,"X76 The Stall"
13,14,0.325395169702319,26.6746048302977,77.8289411443961,"wine","X77.The.Dinner.Party",151,FALSE,"X77 The Dinner Party"
5,75,0.616605308722914,79.3833946912771,12.409475967136,"fun","X78.The.Marine.Biologist",152,FALSE,"X78 The Marine Biologist"
18,25,0.436413165761306,42.5635868342387,107.297189429963,"pie","X79.The.Pie",153,TRUE,"X79 The Pie"
11,30,0.487874679921675,40.5121253200783,50.5187873159487,"rock","X80.The.Stand.In",155,FALSE,"X80 The Stand In"
16,42,0.642443683947245,57.3575563160528,76.704737011839,"wife","X81.The.Wife",156,TRUE,"X81 The Wife"
15,28,0.846234059511158,42.1537659404888,63.3395918591091,"plans","X82.The.Raincoats.Part.1",157,FALSE,"X82 The Raincoats Part 1"
19,79,1.44805339596557,96.5519466040344,66.1202505725903,"clothes","X83.The.Raincoats.Part.2",158,FALSE,"X83 The Raincoats Part 2"
10,25,0.398139132316348,34.6018608676837,48.2191950793041,"toe","X84.The.Fire",159,FALSE,"X84 The Fire"
7,15,0.213185009574177,21.7868149904258,37.6834276340391,"gorgeous","X85.The.Hamptons",160,FALSE,"X85 The Hamptons"
10,30,0.439287928438579,39.5607120715614,45.9053585260888,"coffee table","X86.The.Opposite",161,FALSE,"X86 The Opposite"
10,30,0.439287928438579,39.5607120715614,45.9053585260888,"coffee table","X87.The.Chaperone",162,FALSE,"X87 The Chaperone"
27,30,0.650186720529863,56.3498132794701,163.399065579762,"salad","X88.The.Big.Salad",163,TRUE,"X88 The Big Salad"
11,75,0.808628318584071,85.1913716814159,38.3150392418288,"card","X89.The.Pledge.Drive",164,FALSE,"X89 The Pledge Drive"
18,52,0.636018287067491,69.3639817129325,90.3794919987983,"chinese","X90.The.Chinese.Woman",166,TRUE,"X90 The Chinese Woman"
17,44,0.630694668820678,60.3693053311793,84.1673685415804,"couch","X91.The.Couch",167,TRUE,"X91 The Couch"
5,10,0.15812915845123,14.8418708415488,26.6404662519613,"trash","X92.The.Gymnast",168,FALSE,"X92 The Gymnast"
10,16,0.285104714095223,25.7148952859048,55.9662629101521,"sneakers","X93.The.Mom.And.Pop.Store",169,FALSE,"X93 The Mom And Pop Store"
42,71,1.34604507669895,111.653954923301,224.715025168522,"soup","X94.The.Soup",170,TRUE,"X94 The Soup"
10,64,0.742403684059044,73.257596315941,34.7162900820885,"ticket","X95.The.Secretary",171,FALSE,"X95 The Secretary"
18,41,0.51532241964464,58.4846775803554,98.7942298987387,"cosmo","X96.The.Switch",172,FALSE,"X96 The Switch"
14,10,0.242064157542943,23.7579358424571,96.3064440571927,"bowl","X97.The.Label.Maker",173,FALSE,"X97 The Label Maker"
13,28,0.474312374959911,40.5256876250401,65.3768359229112,"ho ho","X98.The.Race",174,FALSE,"X98 The Race"
13,41,0.616372542862526,53.3836274571375,57.6277535503066,"glasses","X99.The.Scofflaw",175,FALSE,"X99 The Scofflaw"
